魁奇路	10.201.1.8
季华园	10.201.2.8
同济路	10.201.3.8
祖庙	10.201.4.8
普君北路	10.201.5.8
朝安	10.201.6.8
桂城	10.201.7.8
南桂路	10.201.8.8
虫雷岗	10.201.9.8
千灯湖	10.201.10.8
金融高新区	10.201.11.8
龙溪	10.201.12.8
菊村	10.201.13.8
西朗	10.201.14.8
鹤洞	10.201.15.8
沙涌	10.201.16.8
燕岗	10.201.18.8
石溪	10.201.19.8
南洲	10.201.20.8
沥滘	10.201.21.8
林和西	10.200.1.8
体育中心南	10.200.2.8
天河南	10.200.3.8
黄埔大道	10.200.4.8
妇儿中心	10.200.5.8
花城大道	10.200.6.8
大剧院	10.200.7.8
海心沙	10.200.8.8
广州塔	10.200.9.8
新和	10.198.1.8
知识城北	10.198.2.8
马头庄	10.198.3.8
枫下	10.198.4.8
知识城	10.198.5.8
知识城南	10.198.6.8
旺村	10.198.7.8
康大	10.198.8.8
镇龙北	10.198.9.8
镇龙	10.198.10.8
机场北	10.197.1.8
机场南	10.197.2.8
人和	10.197.4.8
龙归	10.197.5.8
白云大道北	10.197.6.8
永泰	10.197.7.8
同和	10.197.8.8
京溪南方医院	10.197.9.8
梅花园	10.197.10.8
燕塘	10.197.11.8
镇龙西	10.115.13.8
中新	10.115.15.8
坑贝	10.115.16.8
凤岗	10.115.17.8
朱村	10.115.18.8
山田	10.115.19.8
钟岗	10.115.20.8
增城广场	10.115.21.8
东风	10.108.1.8
从化客运站	10.108.2.8
赤草	10.108.3.8
神岗	10.108.4.8
太平	10.108.5.8
新和	10.108.6.8
马沥	10.108.7.8
钟落潭	10.108.8.8
竹料	10.108.9.8
太和	10.108.10.8
夏良	10.108.11.8
白云东平	10.108.12.8
嘉禾望岗	10.108.13.8
鱼珠	10.107.1.8
丰乐路	10.107.2.8
文园	10.107.3.8
庙头	10.107.4.8
夏园	10.107.5.8
南岗	10.107.6.8
温涌路	10.107.7.8
东洲	10.107.8.8
新塘	10.107.9.8
官湖	10.107.10.8
象颈岭	10.107.11.8
飞鹅岭	10.103.1.8
花都汽车城	10.103.2.8
广州北站	10.103.3.8
花城路	10.103.4.8
花果山公园	10.103.5.8
花都广场	10.103.6.8
马鞍山公园	10.103.7.8
莲塘村	10.103.8.8
清埗	10.103.9.8
清塘站	10.103.10.8
高增	10.103.11.8
凤凰新村	10.102.14.8
沙园	10.102.15.8
宝岗大道	10.102.16.8
晓港	10.102.18.8
中大	10.102.19.8
鹭江	10.102.20.8
客村	10.102.21.8
赤岗	10.102.22.8
磨碟沙	10.102.23.8
新港东	10.102.24.8
琶洲	10.102.25.8
广州南站	10.101.1.8
石璧    	10.101.2.8
谢村      	10.101.3.8
钟村      	10.101.4.8
